domain,file,true,prediction,C_horizons,Impr_C_horizons
floortile,p572,14,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p554,12,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p551,11,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p331,26,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
woodworking,p351,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p352,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p228,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p224,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p358,3,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p337,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p209,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p194,5,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p354,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p333,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p216,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p357,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p201,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p218,4,5,"[5, 10, 12, 15, 19, 25, 33, 45, 62, 85, 118, 165, 231]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p346,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p196,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p229,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p362,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p350,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p339,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p230,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p356,5,5,"[5, 10, 12, 15, 19, 25, 33, 45, 62, 85, 118, 165, 231]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p207,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p211,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p361,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p198,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p348,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p372,4,5,"[5, 10, 12, 15, 19, 25, 33, 45, 62, 85, 118, 165, 231]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p344,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p215,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p190,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p371,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p212,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p360,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p226,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p343,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p328,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p355,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p366,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p359,3,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p368,3,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p369,4,5,"[5, 10, 12, 15, 19, 25, 33, 45, 62, 85, 118, 165, 231]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p227,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p222,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p330,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p214,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p341,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p365,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p370,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p208,4,3,"[3, 8, 10, 13, 17, 23, 31, 43, 60, 83, 116, 163, 229]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p205,5,5,"[5, 10, 12, 15, 19, 25, 33, 45, 62, 85, 118, 165, 231]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p219,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p327,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p373,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p363,5,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p223,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
woodworking,p367,4,4,"[4, 9, 11, 14, 18, 24, 32, 44, 61, 84, 117, 164, 230]","[5, 7, 10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
driverlog,p293,31,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p499,30,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p501,31,26,"[26, 31, 33, 36, 40, 46, 54, 66, 83, 106, 139, 186, 252]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p338,33,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p316,36,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p339,33,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p353,30,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p259,27,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p299,34,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p331,29,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p378,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p393,39,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p332,31,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p314,34,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p495,22,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p491,24,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p394,39,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p351,29,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p374,32,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p375,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p390,36,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p279,29,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p379,33,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p377,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p258,27,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p312,31,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p399,39,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p337,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p486,31,21,"[21, 26, 28, 31, 35, 41, 49, 61, 78, 101, 134, 181, 247]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p296,31,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p333,31,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p354,31,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p315,35,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p239,24,21,"[21, 26, 28, 31, 35, 41, 49, 61, 78, 101, 134, 181, 247]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p313,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p277,28,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p238,23,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p318,36,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p370,31,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p317,36,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p319,36,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p278,28,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p275,26,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p470,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
driverlog,p395,39,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p334,31,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p335,31,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p376,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p298,33,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p276,27,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p389,36,31,"[31, 36, 38, 41, 45, 51, 59, 71, 88, 111, 144, 191, 257]","[40, 57, 80, 113, 160, 226]"
driverlog,p398,39,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
driverlog,p359,31,26,"[26, 31, 33, 36, 40, 46, 54, 66, 83, 106, 139, 186, 252]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p496,23,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p356,31,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p352,30,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p257,27,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p392,38,31,"[31, 36, 38, 41, 45, 51, 59, 71, 88, 111, 144, 191, 257]","[40, 57, 80, 113, 160, 226]"
driverlog,p295,31,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p397,39,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p371,31,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p297,31,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p373,32,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p500,31,27,"[27, 32, 34, 37, 41, 47, 55, 67, 84, 107, 140, 187, 253]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p396,39,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p256,26,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p358,31,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p469,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
driverlog,p372,31,31,"[31, 36, 38, 41, 45, 51, 59, 71, 88, 111, 144, 191, 257]","[40, 57, 80, 113, 160, 226]"
driverlog,p355,31,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p391,38,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p471,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
driverlog,p274,26,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p294,31,29,"[29, 34, 36, 39, 43, 49, 57, 69, 86, 109, 142, 189, 255]","[40, 57, 80, 113, 160, 226]"
driverlog,p357,31,25,"[25, 30, 32, 35, 39, 45, 53, 65, 82, 105, 138, 185, 251]","[28, 40, 57, 80, 113, 160, 226]"
driverlog,p336,31,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
rovers,p418,49,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p278,43,41,"[41, 46, 48, 51, 55, 61, 69, 81, 98, 121, 154, 201, 267]","[57, 80, 113, 160, 226]"
rovers,p327,46,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
rovers,p478,7,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p524,34,35,"[35, 40, 42, 45, 49, 55, 63, 75, 92, 115, 148, 195, 261]","[40, 57, 80, 113, 160, 226]"
rovers,p494,34,36,"[36, 41, 43, 46, 50, 56, 64, 76, 93, 116, 149, 196, 262]","[40, 57, 80, 113, 160, 226]"
rovers,p229,43,41,"[41, 46, 48, 51, 55, 61, 69, 81, 98, 121, 154, 201, 267]","[57, 80, 113, 160, 226]"
rovers,p504,34,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
rovers,p390,49,45,"[45, 50, 52, 55, 59, 65, 73, 85, 102, 125, 158, 205, 271]","[57, 80, 113, 160, 226]"
rovers,p411,49,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p548,7,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p458,7,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p488,7,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p514,34,35,"[35, 40, 42, 45, 49, 55, 63, 75, 92, 115, 148, 195, 261]","[40, 57, 80, 113, 160, 226]"
rovers,p243,43,39,"[39, 44, 46, 49, 53, 59, 67, 79, 96, 119, 152, 199, 265]","[40, 57, 80, 113, 160, 226]"
rovers,p438,7,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p459,44,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
rovers,p439,44,39,"[39, 44, 46, 49, 53, 59, 67, 79, 96, 119, 152, 199, 265]","[40, 57, 80, 113, 160, 226]"
rovers,p539,44,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
rovers,p257,43,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p250,43,37,"[37, 42, 44, 47, 51, 57, 65, 77, 94, 117, 150, 197, 263]","[40, 57, 80, 113, 160, 226]"
rovers,p469,44,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
rovers,p397,49,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p509,44,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
rovers,p299,35,42,"[42, 47, 49, 52, 56, 62, 70, 82, 99, 122, 155, 202, 268]","[57, 80, 113, 160, 226]"
rovers,p519,44,37,"[37, 42, 44, 47, 51, 57, 65, 77, 94, 117, 150, 197, 263]","[40, 57, 80, 113, 160, 226]"
rovers,p534,34,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
rovers,p424,34,37,"[37, 42, 44, 47, 51, 57, 65, 77, 94, 117, 150, 197, 263]","[40, 57, 80, 113, 160, 226]"
rovers,p468,7,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
rovers,p362,45,41,"[41, 46, 48, 51, 55, 61, 69, 81, 98, 121, 154, 201, 267]","[57, 80, 113, 160, 226]"
rovers,p544,34,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
rovers,p306,37,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p549,44,39,"[39, 44, 46, 49, 53, 59, 67, 79, 96, 119, 152, 199, 265]","[40, 57, 80, 113, 160, 226]"
rovers,p429,44,39,"[39, 44, 46, 49, 53, 59, 67, 79, 96, 119, 152, 199, 265]","[40, 57, 80, 113, 160, 226]"
rovers,p434,34,37,"[37, 42, 44, 47, 51, 57, 65, 77, 94, 117, 150, 197, 263]","[40, 57, 80, 113, 160, 226]"
rovers,p355,27,40,"[40, 45, 47, 50, 54, 60, 68, 80, 97, 120, 153, 200, 266]","[40, 57, 80, 113, 160, 226]"
rovers,p271,43,38,"[38, 43, 45, 48, 52, 58, 66, 78, 95, 118, 151, 198, 264]","[40, 57, 80, 113, 160, 226]"
